,Compound_Name,WHONDRS_Features,Pearsons_Correlation,Spearsman_Correlation,Pearsons_Correlation_pvalue,Spearsman_Correlation_pvalue
44,Lipid,MS_Water.Column.Height_cm,0.2910289280824392,0.23144738101723608,0.03275872746268747,0.092193728083702
45,Other,MS_Water.Column.Height_cm,-0.05187305828001995,0.005169127116187862,0.7095063253114589,0.9704079927094775
46,Protein,MS_Water.Column.Height_cm,0.3399774727880903,0.3945416658236061,0.01189404845141237,0.003154994994646928
47,Tannin,MS_Water.Column.Height_cm,0.2865057990083077,0.2994183797804594,0.035696485575313186,0.027841282353149907
48,UnsatHC,MS_Water.Column.Height_cm,0.06801052512901112,0.012226313582438286,0.6250926501957494,0.930078829912771
49,SumAllCompounds,MS_Water.Column.Height_cm,0.3356062212197716,0.3428495825488194,0.013105030037764347,0.011151906152732009
50,AminoSugar,MS_Sunlight.Access_Perc.Canopy.Cover,-0.24167370617968859,-0.30348236771444115,0.07830993789033013,0.025691023893021612
51,Carb,MS_Sunlight.Access_Perc.Canopy.Cover,-0.1411390565592458,-0.29316482542103367,0.3086804141063523,0.03144297981333357
52,ConcHC,MS_Sunlight.Access_Perc.Canopy.Cover,-0.0004984281515090228,-0.021694472288663953,0.9971459894633182,0.8762622857085236
53,Lignin,MS_Sunlight.Access_Perc.Canopy.Cover,-0.16222546989547962,-0.15984174291696673,0.24119798920629987,0.24827493338508158
54,Lipid,MS_Sunlight.Access_Perc.Canopy.Cover,-0.2753965416598798,-0.27799318243110244,0.04384709607841886,0.041817068302400257
55,Other,MS_Sunlight.Access_Perc.Canopy.Cover,-0.14859075752167528,-0.16121211649092063,0.28357108413716214,0.24418945291459296
56,Protein,MS_Sunlight.Access_Perc.Canopy.Cover,-0.2598665752650533,-0.3127088530857795,0.05773784832744371,0.021322117766346325
57,Tannin,MS_Sunlight.Access_Perc.Canopy.Cover,0.07348969242858042,0.10237349137675843,0.5974191613354722,0.46135079330677764
58,UnsatHC,MS_Sunlight.Access_Perc.Canopy.Cover,-0.04517753300658015,-0.04651647661696266,0.7456478514036637,0.7383739215893721
59,SumAllCompounds,MS_Sunlight.Access_Perc.Canopy.Cover,-0.1423592494949409,-0.127027668644274,0.30447405969154345,0.3600171139127487
60,AminoSugar,DS_Water.Column.Height_cm,0.2839086635061488,0.3889143276665764,0.03747969715729402,0.0036558618374558263
61,Carb,DS_Water.Column.Height_cm,0.2019135910406305,0.42948216644205645,0.1431486654331109,0.0011918067150627249
62,ConcHC,DS_Water.Column.Height_cm,0.2720363143034743,0.29114552085029677,0.04659327439532958,0.03268574219017892
63,Lignin,DS_Water.Column.Height_cm,0.2034650758338577,0.2570589772192917,0.14003601989489184,0.06059241852815054
64,Lipid,DS_Water.Column.Height_cm,0.25740357138461595,0.18526573675875796,0.060236064448525375,0.1798529410556042
65,Other,DS_Water.Column.Height_cm,-0.06886339614478099,-0.04301086582642844,0.6207498928722259,0.7574649743565188
66,Protein,DS_Water.Column.Height_cm,0.2998700651512814,0.3314585406102013,0.02759509224777633,0.014350440181396718
67,Tannin,DS_Water.Column.Height_cm,0.28502856987107705,0.2984061724535692,0.036701939646689566,0.028399664804077494
68,UnsatHC,DS_Water.Column.Height_cm,0.04901524439302653,0.009712744632999782,0.724860213018744,0.9444281880585889
69,SumAllCompounds,DS_Water.Column.Height_cm,0.2936886536646145,0.2946200617482311,0.03112710165218774,0.030571974614970455
70,AminoSugar,DS_Sunlight.Access_Perc.Canopy.Cover,-0.20221669720731267,-0.2117336648209591,0.14253654793926018,0.1242942831110175
71,Carb,DS_Sunlight.Access_Perc.Canopy.Cover,-0.15466305614950884,-0.2646008913032661,0.2641318709186823,0.05317084875738814
72,ConcHC,DS_Sunlight.Access_Perc.Canopy.Cover,-0.10160603850247582,-0.11373872105759189,0.46473437404709794,0.41283723501825864
73,Lignin,DS_Sunlight.Access_Perc.Canopy.Cover,-0.18361435886617725,-0.15372639842820945,0.1838333391505411,0.2670706830044795
74,Lipid,DS_Sunlight.Access_Perc.Canopy.Cover,-0.13998350742141477,-0.12867756057174484,0.3126981443724222,0.3537601342340988
75,Other,DS_Sunlight.Access_Perc.Canopy.Cover,-0.10664531923076381,-0.09605955040082922,0.44276329308360857,0.48958183263153987
76,Protein,DS_Sunlight.Access_Perc.Canopy.Cover,-0.2104315947971667,-0.21916121479226638,0.1266800201662499,0.11133069835005244
77,Tannin,DS_Sunlight.Access_Perc.Canopy.Cover,0.02857339941583494,0.04877535679712261,0.8374943966533501,0.7261540314466368
78,UnsatHC,DS_Sunlight.Access_Perc.Canopy.Cover,-0.15314257874759757,-0.17970821629822903,0.26891344948309664,0.19349971581261477
79,SumAllCompounds,DS_Sunlight.Access_Perc.Canopy.Cover,-0.1642832305256462,-0.10371785132378235,0.2352007176932567,0.455456058247391
80,AminoSugar,SW_pH,0.2290863412242022,0.3207747864616936,0.09565673978498154,0.018034131869254177
81,Carb,SW_pH,0.2163359236210307,0.30542009326967273,0.11613386334626083,0.02471592957368386
