,Compound_Name,StreamStats_Features,Pearsons_Correlation,Spearsman_Correlation,Pearsons_Correlation_pvalue,Spearsman_Correlation_pvalue
62,ConcHC,MINBELEV,-0.04968810167272665,-0.11904762199492078,0.7942855623018776,0.5309355232835808
63,Lignin,MINBELEV,-0.17942424448035105,-0.22249416090509655,0.34276396666606235,0.2373038645625919
64,Lipid,MINBELEV,-0.4050077930703152,-0.42357449026187693,0.026407105344989783,0.019676999133729826
65,Other,MINBELEV,-0.23180553270249646,-0.29526721118203236,0.21773450031314479,0.11317629789070252
66,Protein,MINBELEV,-0.34723342325595813,-0.39425965312383116,0.06010301985479791,0.031093132550097786
67,Tannin,MINBELEV,-0.03246394462006739,-0.21070197037712646,0.864773078355145,0.2637256460605177
68,UnsatHC,MINBELEV,0.13050466318734136,0.06883522908871902,0.4918438744456669,0.7177744126210135
69,SumAllCompounds,MINBELEV,-0.21512548905365053,-0.26896551724137935,0.25359841502004055,0.1506533247467615
70,AminoSugar,FOREST,-0.3200563830860286,-0.31993168249779586,0.11094364574417272,0.1110906477319016
71,Carb,FOREST,-0.35560453423440497,-0.40287854893844904,0.07461021730227471,0.041284558424437394
72,ConcHC,FOREST,0.16475363254760617,0.16652419460339726,0.4212328045765571,0.41618929855697984
73,Lignin,FOREST,-0.37004496616939714,-0.477004623145255,0.06278019792413446,0.013741472978836879
74,Lipid,FOREST,-0.12926346404200115,-0.10366064691330161,0.529119962899268,0.6143082675832178
75,Other,FOREST,0.09428179925903235,0.05982561458118941,0.6468633653933356,0.7715797256590977
76,Protein,FOREST,-0.3812976051619981,-0.3665583914062461,0.05461212829485809,0.06549377056403019
77,Tannin,FOREST,0.2400251724515371,0.23350427350427347,0.23757738795473599,0.2509505680633574
78,UnsatHC,FOREST,0.016831501875657198,0.013076673172188668,0.9349578367757383,0.9494468630410533
79,SumAllCompounds,FOREST,-0.1979750000848034,-0.19658119658119655,0.332309627503327,0.33579369165846373
