,Compound_Name,EPA-ACC_Features,Pearsons_Correlation,Spearsman_Correlation,Pearsons_Correlation_pvalue,Spearsman_Correlation_pvalue
40,AminoSugar,PctAg2006Slp20Cat,0.15887316193338538,0.15887316193338538,0.25119040082894906,0.25119040082894906
41,Carb,PctAg2006Slp20Cat,0.12161189157387216,0.12161189157387216,0.38102550628175746,0.38102550628175746
42,ConcHC,PctAg2006Slp20Cat,-0.04071688042552052,-0.04071688042552052,0.7700367047298545,0.7700367047298545
43,Lignin,PctAg2006Slp20Cat,0.08003832115245753,0.08003832115245753,0.5650741143818361,0.5650741143818361
44,Lipid,PctAg2006Slp20Cat,0.22141695969763087,0.22141695969763087,0.10760627190036223,0.10760627190036223
45,Other,PctAg2006Slp20Cat,0.11114181520495377,0.11114181520495377,0.4236556843490099,0.4236556843490099
46,Protein,PctAg2006Slp20Cat,0.170575709722909,0.170575709722909,0.21750036074609447,0.21750036074609447
47,Tannin,PctAg2006Slp20Cat,0.0240509107418128,0.0240509107418128,0.8629447618236643,0.8629447618236643
48,UnsatHC,PctAg2006Slp20Cat,-0.19301190296021212,-0.19301190296021212,0.16201021016742098,0.16201021016742098
49,SumAllCompounds,PctAg2006Slp20Cat,0.08849228359969126,0.08849228359969126,0.5245697138989001,0.5245697138989001
50,AminoSugar,CBNFCat,0.07113189617074564,0.07113189617074564,0.6092614577885523,0.6092614577885523
51,Carb,CBNFCat,0.06504524464235124,0.06504524464235124,0.6402894624942843,0.6402894624942843
52,ConcHC,CBNFCat,-0.1348766721577022,-0.1348766721577022,0.3308524381005903,0.3308524381005903
53,Lignin,CBNFCat,0.10056863711194859,0.10056863711194859,0.4693293357616759,0.4693293357616759
54,Lipid,CBNFCat,0.10637078090331416,0.10637078090331416,0.4439452112470411,0.4439452112470411
55,Other,CBNFCat,-0.03082962511164026,-0.03082962511164026,0.82485723150468,0.82485723150468
56,Protein,CBNFCat,0.16896036298093237,0.16896036298093237,0.22195282758136262,0.22195282758136262
57,Tannin,CBNFCat,-0.2526144313756668,-0.2526144313756668,0.06534240757097326,0.06534240757097326
58,UnsatHC,CBNFCat,-0.23279299220082927,-0.23279299220082927,0.09026427337729495,0.09026427337729495
59,SumAllCompounds,CBNFCat,0.010857284837228703,0.010857284837228703,0.9378918393709468,0.9378918393709468
60,AminoSugar,FertCat,0.08024637413271841,0.08024637413271841,0.5640600435471845,0.5640600435471845
61,Carb,FertCat,0.13279392119365116,0.13279392119365116,0.3384426188762749,0.3384426188762749
62,ConcHC,FertCat,-0.14618306883819426,-0.14618306883819426,0.2915327098076942,0.2915327098076942
63,Lignin,FertCat,-0.01197039558353866,-0.01197039558353866,0.9315388719822252,0.9315388719822252
64,Lipid,FertCat,0.03087420840531334,0.03087420840531334,0.8246079519533742,0.8246079519533742
