,Compound_Name,EPA-ACW_Features,Pearsons_Correlation,Spearsman_Correlation,Pearsons_Correlation_pvalue,Spearsman_Correlation_pvalue
523,Lignin,HydrlCondWs,0.24315492860271126,0.24315492860271126,0.07644384376409752,0.07644384376409752
524,Lipid,HydrlCondWs,0.0672579543439791,0.0672579543439791,0.6289352141616614,0.6289352141616614
525,Other,HydrlCondWs,-0.07595360137631116,-0.07595360137631116,0.5851536830452782,0.5851536830452782
526,Protein,HydrlCondWs,0.1666221683300853,0.1666221683300853,0.22850935473439005,0.22850935473439005
527,Tannin,HydrlCondWs,0.1805641810288885,0.1805641810288885,0.19135111227135937,0.19135111227135937
528,UnsatHC,HydrlCondWs,0.00529086143848089,0.00529086143848089,0.9697114143905219,0.9697114143905219
529,SumAllCompounds,HydrlCondWs,0.2362403385609971,0.2362403385609971,0.08546498702433278,0.08546498702433278
530,AminoSugar,CompStrgthWs,-0.1865555182454946,-0.1865555182454946,0.1767876457230297,0.1767876457230297
531,Carb,CompStrgthWs,-0.14951555166658842,-0.14951555166658842,0.2805513907271273,0.2805513907271273
532,ConcHC,CompStrgthWs,-0.07269093908152596,-0.07269093908152596,0.6014196085789861,0.6014196085789861
533,Lignin,CompStrgthWs,-0.1980218694563181,-0.1980218694563181,0.1511827561781074,0.1511827561781074
534,Lipid,CompStrgthWs,-0.1550274380778075,-0.1550274380778075,0.26299447544455395,0.26299447544455395
535,Other,CompStrgthWs,-0.10158670449951136,-0.10158670449951136,0.46481978735458784,0.46481978735458784
536,Protein,CompStrgthWs,-0.19229943692873547,-0.19229943692873547,0.16359497708118187,0.16359497708118187
537,Tannin,CompStrgthWs,-0.03265637673837766,-0.03265637673837766,0.8146575891324177,0.8146575891324177
538,UnsatHC,CompStrgthWs,0.06376757054915469,0.06376757054915469,0.6468833386647669,0.6468833386647669
539,SumAllCompounds,CompStrgthWs,-0.17151539657406656,-0.17151539657406656,0.21493912946517194,0.21493912946517194
540,AminoSugar,PctImp2006Ws,0.41715177149969285,0.41715177149969285,0.001700419638839879,0.001700419638839879
541,Carb,PctImp2006Ws,0.39210604842819646,0.39210604842819646,0.003363798200086252,0.003363798200086252
