,Compound_Name,HYDROSHEDS_Features,Pearsons_Correlation,Spearsman_Correlation,Pearsons_Correlation_pvalue,Spearsman_Correlation_pvalue
1340,AminoSugar,glc_pc_s07,,,,
1341,Carb,glc_pc_s07,,,,
1342,ConcHC,glc_pc_s07,,,,
1343,Lignin,glc_pc_s07,,,,
1344,Lipid,glc_pc_s07,,,,
1345,Other,glc_pc_s07,,,,
1346,Protein,glc_pc_s07,,,,
1347,Tannin,glc_pc_s07,,,,
1348,UnsatHC,glc_pc_s07,,,,
1349,SumAllCompounds,glc_pc_s07,,,,
1350,AminoSugar,glc_pc_s08,,,,
1351,Carb,glc_pc_s08,,,,
1352,ConcHC,glc_pc_s08,,,,
1353,Lignin,glc_pc_s08,,,,
1354,Lipid,glc_pc_s08,,,,
1355,Other,glc_pc_s08,,,,
1356,Protein,glc_pc_s08,,,,
1357,Tannin,glc_pc_s08,,,,
1358,UnsatHC,glc_pc_s08,,,,
1359,SumAllCompounds,glc_pc_s08,,,,
1360,AminoSugar,glc_pc_s09,,,,
1361,Carb,glc_pc_s09,,,,
1362,ConcHC,glc_pc_s09,,,,
1363,Lignin,glc_pc_s09,,,,
1364,Lipid,glc_pc_s09,,,,
1365,Other,glc_pc_s09,,,,
1366,Protein,glc_pc_s09,,,,
1367,Tannin,glc_pc_s09,,,,
1368,UnsatHC,glc_pc_s09,,,,
1369,SumAllCompounds,glc_pc_s09,,,,
1370,AminoSugar,glc_pc_s10,,,,
1371,Carb,glc_pc_s10,,,,
1372,ConcHC,glc_pc_s10,,,,
1373,Lignin,glc_pc_s10,,,,
1374,Lipid,glc_pc_s10,,,,
1375,Other,glc_pc_s10,,,,
1376,Protein,glc_pc_s10,,,,
1377,Tannin,glc_pc_s10,,,,
1378,UnsatHC,glc_pc_s10,,,,
1379,SumAllCompounds,glc_pc_s10,,,,
1380,AminoSugar,glc_pc_s11,0.11423587839563688,0.11423587839563688,0.41078440803418603,0.41078440803418603
1381,Carb,glc_pc_s11,0.07803236789422834,0.07803236789422834,0.5748947139626301,0.5748947139626301
1382,ConcHC,glc_pc_s11,-0.11849808938455439,-0.11849808938455439,0.393428148758228,0.393428148758228
1383,Lignin,glc_pc_s11,0.06848981266598345,0.06848981266598345,0.6226505852859248,0.6226505852859248
1384,Lipid,glc_pc_s11,0.1285442254186301,0.1285442254186301,0.3542632960492336,0.3542632960492336
1385,Other,glc_pc_s11,0.00861176048924045,0.00861176048924045,0.9507192273815166,0.9507192273815166
1386,Protein,glc_pc_s11,0.08984628420975117,0.08984628420975117,0.5182193579852272,0.5182193579852272
1387,Tannin,glc_pc_s11,-0.046598799333942675,-0.046598799333942675,0.7379274297890849,0.7379274297890849
1388,UnsatHC,glc_pc_s11,-0.1288864722132395,-0.1288864722132395,0.3529726545266898,0.3529726545266898
1389,SumAllCompounds,glc_pc_s11,0.031476932831940974,0.031476932831940974,0.8212396205904721,0.8212396205904721
1390,AminoSugar,glc_pc_s12,-0.26066998891500825,-0.26066998891500825,0.05694127484742741,0.05694127484742741
1391,Carb,glc_pc_s12,-0.20432809968363883,-0.20432809968363883,0.138326617969039,0.138326617969039
1392,ConcHC,glc_pc_s12,0.017765224319332446,0.017765224319332446,0.8985426556470786,0.8985426556470786
1393,Lignin,glc_pc_s12,-0.11411445627227458,-0.11411445627227458,0.4112852317258954,0.4112852317258954
1394,Lipid,glc_pc_s12,-0.3203389873375725,-0.3203389873375725,0.018200051016691,0.018200051016691
1395,Other,glc_pc_s12,-0.3285293802501614,-0.3285293802501614,0.01528983703590762,0.01528983703590762
1396,Protein,glc_pc_s12,-0.3046141720211742,-0.3046141720211742,0.025117634216546742,0.025117634216546742
1397,Tannin,glc_pc_s12,0.017799472014987137,0.017799472014987137,0.898348096572433,0.898348096572433
1398,UnsatHC,glc_pc_s12,0.04407168096348439,0.04407168096348439,0.751672164093317,0.751672164093317
1399,SumAllCompounds,glc_pc_s12,-0.14180690016937242,-0.14180690016937242,0.306373567201772,0.306373567201772
1400,AminoSugar,glc_pc_s13,-0.09076951901370837,-0.09076951901370837,0.5139115617420672,0.5139115617420672
1401,Carb,glc_pc_s13,-0.1058281496591399,-0.1058281496591399,0.44628643578897154,0.44628643578897154
1402,ConcHC,glc_pc_s13,-0.02868140171708462,-0.02868140171708462,0.836888518426284,0.836888518426284
1403,Lignin,glc_pc_s13,0.05648260547090869,0.05648260547090869,0.6849829741166577,0.6849829741166577
1404,Lipid,glc_pc_s13,-0.1642223420974586,-0.1642223420974586,0.23537668997089467,0.23537668997089467
1405,Other,glc_pc_s13,-0.07994618427168895,-0.07994618427168895,0.565523470359155,0.565523470359155
1406,Protein,glc_pc_s13,-0.0871268436317844,-0.0871268436317844,0.5310126694634107,0.5310126694634107
1407,Tannin,glc_pc_s13,-0.09575993287658113,-0.09575993287658113,0.49094354537558904,0.49094354537558904
1408,UnsatHC,glc_pc_s13,0.07371263167726255,0.07371263167726255,0.5963047006043555,0.5963047006043555
1409,SumAllCompounds,glc_pc_s13,-0.03068717606624352,-0.03068717606624352,0.8256538248000805,0.8256538248000805
1410,AminoSugar,glc_pc_s14,0.21158007395384715,0.21158007395384715,0.1245739188917463,0.1245739188917463
1411,Carb,glc_pc_s14,0.2630792234332558,0.2630792234332558,0.05460563455822678,0.05460563455822678
1412,ConcHC,glc_pc_s14,0.005166244160869301,0.005166244160869301,0.9704244895915463,0.9704244895915463
1413,Lignin,glc_pc_s14,0.234579975059376,0.234579975059376,0.08775087100177045,0.08775087100177045
1414,Lipid,glc_pc_s14,0.2243782289943418,0.2243782289943418,0.10286327309746296,0.10286327309746296
1415,Other,glc_pc_s14,0.21202034996698546,0.21202034996698546,0.12377360084561428,0.12377360084561428
1416,Protein,glc_pc_s14,0.23030135448694222,0.23030135448694222,0.09386222742744006,0.09386222742744006
1417,Tannin,glc_pc_s14,0.06869400260373365,0.06869400260373365,0.6216114181294569,0.6216114181294569
1418,UnsatHC,glc_pc_s14,-0.03391569010959188,-0.03391569010959188,0.8076438409322864,0.8076438409322864
1419,SumAllCompounds,glc_pc_s14,0.20029097858298953,0.20029097858298953,0.1464588374171241,0.1464588374171241
1420,AminoSugar,glc_pc_s15,0.09727399807675148,0.09727399807675148,0.48408264250100363,0.48408264250100363
1421,Carb,glc_pc_s15,0.0587193861679512,0.0587193861679512,0.6731963281820779,0.6731963281820779
1422,ConcHC,glc_pc_s15,0.2505501294024853,0.2505501294024853,0.06764768421293191,0.06764768421293191
1423,Lignin,glc_pc_s15,0.12071922884827921,0.12071922884827921,0.384557024984566,0.384557024984566
1424,Lipid,glc_pc_s15,-0.005923218082318436,-0.005923218082318436,0.9660933667307693,0.9660933667307693
1425,Other,glc_pc_s15,-0.01723346623249713,-0.01723346623249713,0.9015642936315575,0.9015642936315575
1426,Protein,glc_pc_s15,0.05407936398308576,0.05407936398308576,0.6977302119128364,0.6977302119128364
1427,Tannin,glc_pc_s15,0.21510590384415929,0.21510590384415929,0.1182737017612725,0.1182737017612725
